sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
2618,occidental,western,"[""western"", ""westerner""]",adj,15096
2619,leyenda,life of a saint,"[""legend, saga, traditional story"", ""life of a saint"", ""legend, idol"", ""legend, inscription"", ""legend, an explanatory caption or footer , often indicating color"", ""the act of reading""]",n,15092
2620,naturalmente,"naturally, of course","[""naturally, of course""]",adv,15067
2621,sospecha,suspicion,"[""suspicion""]",n,15051
2622,escolar,scholar,"[""scholar"", ""student, schoolchild, schoolboy, schoolgirl"", ""to go through a narrow place""]",adj,15049
2623,queja,complaining,"[""complaint, grievance, gripe, grumble"", ""complaining""]",n,15046
2624,perfil,profile,"[""profile"", ""side view""]",n,15033
2625,escándalo,scandal,"[""scandal""]",n,15029
2626,habitante,inhabitant,"[""inhabiting"", ""inhabitant""]",n,15028
2627,columna,file,"[""a column"", ""file""]",n,15010
2628,arresto,arrest,"[""arrest"", ""boldness""]",n,15006
2629,poesía,poetry,"[""poetry"", ""poem""]",n,15004
2630,sacrificio,sacrifice,"[""sacrifice"", ""slaughter""]",n,15004
2631,bienes,goods,"[""goods"", ""plural of \""bien""]",n,14979
2632,avergonzar,to shame,"[""to shame"", ""to embarrass"", ""to embarrass oneself, be ashamed""]",v,14971
2633,ingeniero,engineer,"[""engineer""]",n,14961
2634,fórmula,formula,"[""formula""]",n,14957
2635,oponer,to put up,"[""to pit"", ""to put up"", ""to be opposed, to be in opposition""]",v,14954
2636,vomitar,"to vomit, to be sick","[""to vomit, to be sick""]",v,14950
2637,alquilar,to rent,"[""to rent"", ""to rent out something to someone""]",v,14946
2638,situar,to invest money,"[""to situate, to place, to put, to position"", ""to invest money"", ""to locate"", ""to site"", ""to be set"", ""to position oneself"", ""to be placed, to be located, to be situated"", ""to reach""]",v,14944
2639,cortado,chopped,"[""choppy, disconnected"", ""chopped"", ""adjusted, proportioned"", ""thickened, coagulated"", ""shy"", ""divided into two equal parts horizontally, per fess"", ""a coffee or espresso with a small amount of warm milk added""]",adj,14942
2640,Emma,given name,"[""given name""]",prop,14940
2641,dibujar,to outline,"[""to draw, to sketch"", ""to describe vividly, to detail"", ""to outline"", ""to be outlined, to stand out"", ""to be revealed, to take form""]",v,14936
2642,clark,,[],none,14932
2643,consejero,adviser,"[""adviser"", ""counsellor""]",n,14928
2644,carl,,[],none,14920
2645,cazador,hunting,"[""hunting"", ""hunter"", ""light infantryman"", ""light cavalryman"", ""rifleman""]",n,14916
2646,alejado,"far, faraway, distant","[""far, faraway, distant""]",adj,14908
2647,fabricar,to manufacture,"[""to manufacture"", ""to build""]",v,14907
2648,onda,wave,"[""wave"", ""any other wave"", ""style"", ""vibe or mood"", ""bag""]",n,14907
2649,testimonio,testimony,"[""testimony"", ""witness"", ""baton""]",n,14890
2650,comprometer,"to promise, to engage to be married","[""to promise, to engage to be married"", ""to compromise, to endanger""]",v,14887
2651,monte,hill,"[""mountain, mount"", ""hill"", ""forest, wilderness"", ""desert"", ""underbrush"", ""weeds""]",n,14884
2652,joya,conniver,"[""jewellery, jewelry"", ""jewel, piece of jewelry"", ""gem"", ""conniver"", ""a person of poor reputation"", ""basin"", ""awesome, nice""]",n,14880
2653,repartir,to deliver,"[""to share, give out"", ""to deliver"", ""to distribute""]",v,14872
2654,titular,titular,"[""titular"", ""headline"", ""holder"", ""owner"", ""starter"", ""to entitle"", ""to title"", ""to value a solution""]",n,14862
2655,ambulancia,ambulance,"[""ambulance""]",n,14852
2656,Pérez,surname,"[""surname""]",prop,14842
2657,Brasil,Brazil,"[""Brazil""]",prop,14830
2659,otorgar,to grant,"[""to grant"", ""to award"", ""to draw up, draft , especially following a standard form)""]",v,14827
2660,inicio,home,"[""start, initiation"", ""home""]",n,14821
2661,traidor,traitorous,"[""traitorous"", ""unpredictable"", ""traitor, betrayer, backstabber"", ""snake""]",n,14820
2662,emocionado,agog,"[""excited, enthused, moved"", ""agog""]",adj,14809
2663,cantante,singer,"[""who sings, singing"", ""singer""]",n,14808
2664,sumar,to add,"[""to add"", ""to add, to add up"", ""to join up""]",v,14805
2665,despierto,awake,"[""awake""]",adj,14803
2666,residencia,residence,"[""residence"", ""residence, home"", ""old people's home, rest home, nursing home"", ""old people's home, retirement village, retirement home, residence for the elderly"", ""residencia""]",n,14802
2667,múltiple,multiple,"[""multiple""]",adj,14796
2668,ed,,[],none,14795
2669,lord,lord,"[""lord""]",n,14794
2670,monje,monk,"[""monk""]",n,14789
2671,pasta,pasta,"[""pasta"", ""paste, dough"", ""biscuit"", ""money, dough"", ""ellipsis of \""pasta de cocaína"", ""ellipsis of \""pasta de dientes""]",n,14785
2672,mezclar,to mix,"[""to mix"", ""to blend in""]",v,14780
2673,océano,ocean,"[""ocean""]",n,14777
2674,justificar,to justify,"[""to justify"", ""to account for""]",v,14773
2675,vital,vital,"[""vital""]",adj,14765
2676,grace,,[],none,14763
2677,Rusia,Russia,"[""Russia""]",prop,14752
2678,Julia,given name,"[""given name""]",prop,14751
2679,involucrar,to involve,"[""to involve"", ""to meddle""]",v,14749
2680,posterior,"posterior, later","[""posterior, later""]",adj,14720
2681,delicado,delicate,"[""delicate"", ""fragile"", ""dainty, fine, refined"", ""fussy"", ""subtle"", ""effeminate, gay""]",adj,14719
2682,pene,penis,"[""penis"", ""penny""]",n,14710
2683,juzgado,a court of law with a judge,"[""a court of law with a judge"", ""a place for adjudicated individuals"", ""judicate , judgedom, judicature""]",n,14696
2684,distinguir,"to distinguish, discern","[""to distinguish, discern"", ""to differentiate, set apart"", ""to make out, manage to see, hear etc"", ""to stand out, be distinguishable or differentiable, to distinguish oneself""]",v,14694
2685,garganta,throat,"[""throat"", ""gorge""]",n,14692
2686,aproximadamente,approximately,"[""approximately""]",adv,14687
2687,dorado,golden,"[""golden"", ""various species of golden-colored fish"", ""plating with gold""]",adj,14687
2688,once,eleven,"[""eleven"", ""elevenses, snack""]",num,14681
2689,fracasar,to break into pieces,"[""to fail, flop, lose"", ""to break into pieces""]",v,14675
2690,terapia,therapy,"[""therapy"", ""treatment""]",n,14663
2691,aterrizar,to land,"[""to land"", ""to come back to reality, to stop dreaming""]",v,14647
2692,portar,to wear,"[""to bear, to carry"", ""to wear"", ""to behave, to be good""]",v,14641
2693,reportar,to report,"[""to report""]",v,14637
2694,Sara,Sarah,"[""Sarah"", ""given name""]",prop,14634
2695,ja,"representation of laughter, ha","[""representation of laughter, ha""]",interj,14629
2696,cuarenta,forty,"[""forty""]",num,14614
2697,roger,,[],none,14609
2698,Miami,Miami,"[""Miami""]",prop,14608
2699,medicamento,"medicine, medicament","[""medicine, medicament""]",n,14599
2700,comprometido,committed,"[""committed"", ""engaged"", ""fiancé""]",adj,14594
2701,esencial,essential,"[""essential""]",adj,14591
2702,avanzado,advanced,"[""advanced""]",adj,14590
2703,vampiro,vampire,"[""vampire"", ""vampire bat""]",n,14587
2704,vasco,Basque,"[""Basque"", ""a Basque person""]",n,14586
2705,grano,grain,"[""grain"", ""grain, seed, kernel, bean"", ""pimple, blackhead"", ""point"", ""grano, Spanish grain""]",n,14579
2706,docena,dozen,"[""dozen""]",n,14567
2707,pasajero,passenger,"[""transient, passing"", ""passenger""]",n,14567
2708,sacrificar,to sacrifice,"[""to sacrifice"", ""to put down, euthanize""]",v,14563
2709,potencia,powerlifting,"[""power, potency"", ""powerlifting""]",n,14553
2710,nombrar,to name,"[""to name""]",v,14532
2711,galleta,cookie / biscuit,"[""cookie / biscuit""]",n,14511
2712,construido,constructed,"[""constructed""]",adj,14506
2713,adelantar,to pay in advance,"[""to bring forward, advance, to move forward"", ""to pay in advance"", ""to outstrip, to outrun"", ""to make progress"", ""to overtake, to pass"", ""to move up, speed up"", ""to fast forward"", ""to preempt""]",v,14493
2714,Villa,surname,"[""surname""]",prop,14483
2715,revolucionario,revolutionary,"[""revolutionary""]",adj,14483
2716,annie,,[],none,14482
2717,casualidad,"chance, coincidence, happenstance, fluke, accident","[""chance, coincidence, happenstance, fluke, accident""]",n,14475
2718,género,kind,"[""kind"", ""genre"", ""genus"", ""gender, sex"", ""gender"", ""produce, merchandise"", ""cloth, material""]",n,14474
2719,reparar,to stop,"[""to notice"", ""to repair"", ""to stop""]",v,14470
2720,horno,oven,"[""oven"", ""furnace"", ""a very hot place""]",n,14467
2721,valioso,valuable,"[""valuable""]",adj,14462
2722,individual,individual,"[""individual"", ""case-by-case"", ""one-on-one"", ""one-man"", ""personal, individualized"", ""place mat""]",adj,14455
2723,lector,reading,"[""reading"", ""reading aloud to other people"", ""reader""]",n,14453
2724,piano,piano,"[""piano""]",n,14444
2725,km,,[],none,14441
2726,ducha,shower,"[""shower""]",n,14415
2727,sabio,learned,"[""learned"", ""prudent"", ""learned person"", ""wise person""]",adj,14415
2728,simon,,[],none,14411
2729,fiebre,fever,"[""fever""]",n,14409
2730,alegre,lively,"[""joyful, cheerful"", ""happy, joyous, merry"", ""lively"", ""light-hearted"", ""jaunty"", ""tipsy""]",adj,14400
2731,ámbito,ambitus,"[""scope, field"", ""ambitus""]",n,14396
2732,claire,,[],none,14393
2733,tirado,easy-peasy,"[""easy-peasy"", ""dirt cheap"", ""bum, hobo"", ""lost cause, no-hoper""]",adj,14381
2734,criticar,to criticize,"[""to criticize""]",v,14367
2735,global,global,"[""global"", ""aggregate""]",adj,14331
2736,correspondiente,respective,"[""respective"", ""corresponding""]",adj,14328
2737,incómodo,uncomfortable,"[""uncomfortable"", ""awkward""]",adj,14324
2738,ee,,[],none,14322
2739,emplear,to use,"[""to hire, to employ"", ""to use""]",v,14305
2740,desagradable,"unpleasant, disagreeable, distasteful, off-putting, displeasing, unpleasing, bad, rude, unsavory, uncomfortable, unlikable, objectionable, painful, uncongenial, crappy, gnarly","[""unpleasant, disagreeable, distasteful, off-putting, displeasing, unpleasing, bad, rude, unsavory, uncomfortable, unlikable, objectionable, painful, uncongenial, crappy, gnarly"", ""nasty, ugly, unkind, objectionable, unsightly""]",adj,14303
2741,idioma,language,"[""language""]",n,14287
2742,ciclo,cycle,"[""cycle"", ""series"", ""period""]",n,14280
2743,mecánico,mechanical,"[""mechanical"", ""mechanic""]",adj,14275
2744,escritorio,writing desk,"[""writing desk"", ""study"", ""desktop, desktop computer""]",n,14267
2745,rama,branch,"[""branch"", ""offshoot""]",n,14264
2746,refugio,refuge,"[""refuge"", ""safety""]",n,14261
2747,firmado,signed,"[""signed""]",adj,14251
2748,remedio,medicine,"[""remedy, solution"", ""medicine"", ""amendment""]",n,14237
2749,reemplazar,to replace,"[""to replace"", ""to substitute""]",v,14215
2750,dormitorio,bedroom,"[""bedroom"", ""dormitory""]",n,14193
2751,jurídico,juridical,"[""juridical"", ""legal""]",adj,14193
2752,ejecutar,to execute,"[""to execute, to run"", ""to execute"", ""to perform""]",v,14181
2753,recompensa,bounty,"[""reward, recompense"", ""bounty"", ""recompense, indemnification""]",n,14153
2754,especialista,specialist,"[""specialist"", ""stuntman""]",n,14146
2755,gris,grey / gray,"[""grey / gray"", ""boring, dull"", ""overcast, cloudy"", ""morally ambiguous""]",adj,14140
2756,rumbo,course,"[""course"", ""heading, bearing""]",n,14138
2757,Fernández,surname,"[""surname""]",prop,14136
2758,satisfecho,satisfied,"[""satisfied""]",adj,14121
2759,sótano,cellar,"[""cellar"", ""basement"", ""pit""]",n,14116
2760,kyle,,[],none,14109
2761,arroz,rice,"[""rice""]",n,14108
2762,pintor,painter,"[""painter"", ""housepainter""]",n,14104
2763,antecedente,precedent,"[""precedent"", ""antecedent"", ""background""]",n,14075
2764,gobernar,to govern,"[""to govern"", ""to steer"", ""to guide""]",v,14069
2765,lentamente,slowly,"[""slowly""]",adv,14069
2766,vídeo,video,"[""video"", ""VHS player, videocassette recorder, VCR""]",n,14064
2767,tanque,tank,"[""tank"", ""large glass""]",n,14060
2768,f,bad luck,"[""bad luck""]",interj,14052
2769,prostituto,prostitute,"[""prostitute""]",n,14036
2770,gary,,[],none,14009
2771,crema,cream,"[""cream"", ""soup with cream"", ""custard"", ""mess, disorder"", ""cream, creamy"", ""dieresis""]",n,13991
2772,taller,workshop,"[""workshop"", ""studio"", ""repair shop, garage""]",n,13977
2773,posiblemente,possibly,"[""possibly""]",adv,13969
2774,acontecimiento,"event, development, occurrence, happening","[""event, development, occurrence, happening""]",n,13957
2775,guiar,to guide,"[""to guide"", ""to lead, to conduct"", ""to show the way"", ""to drive, to steer"", ""to train"", ""to advise, to counsel, to guide"", ""to sprout""]",v,13957
2776,generalmente,"generally, normally","[""generally, normally""]",adv,13938
2777,ted,,[],none,13933
2778,competir,to compete,"[""to compete""]",v,13923
2779,bota,boot,"[""boot"", ""wineskin, bota bag""]",n,13921
2780,duque,duke,"[""duke""]",n,13921
2781,ola,wave,"[""wave"", ""sudden appearance of a large amount of something"", ""Mexican wave""]",n,13917
2782,sofá,"sofa, couch","[""sofa, couch""]",n,13907
2783,concentración,concentration,"[""concentration"", ""demonstration, protest""]",n,13904
2784,pastilla,pill,"[""pill"", ""cake"", ""bar"", ""cube"", ""pad""]",n,13904
2785,salario,income,"[""wage, wages, salary"", ""income""]",n,13900
2786,verificar,"to verify, check","[""to verify, check""]",v,13899
2787,arreglo,compromise,"[""adjustment, arrangement"", ""compromise"", ""grooming, personal care"", ""repair"", ""array""]",n,13887
2788,corredor,running,"[""corridor, hall"", ""pass, passageway"", ""running"", ""ratite"", ""runner"", ""broker""]",n,13885
2789,asamblea,"assembly, meeting","[""assembly, meeting""]",n,13882
2790,colonia,colony,"[""colony"", ""neighbourhood"", ""eau de Cologne""]",n,13868
2791,rescate,rescue,"[""rescue"", ""ransom"", ""bail-out, bail out""]",n,13865
2792,Sánchez,surname,"[""surname""]",prop,13835
2793,marcado,"marked, pronounced","[""marked, pronounced""]",adj,13820
2794,despedida,farewell,"[""farewell"", ""farewell party"", ""valediction, complimentary close""]",n,13818
2795,malvado,"evil, wicked, mean, bad","[""evil, wicked, mean, bad""]",adj,13816
2796,asalto,assault,"[""assault"", ""mugging, robbery"", ""round"", ""coup""]",n,13812
2797,estimar,to esteem,"[""to esteem"", ""to estimate"", ""to think, to believe""]",v,13804
2798,lesión,lesion,"[""lesion""]",n,13799
2799,calentar,to turn on,"[""to heat, to warm up"", ""to turn on"", ""to warm up""]",v,13796
2800,cargado,loaded,"[""loaded"", ""charged""]",adj,13792
2801,filosofía,philosophy,"[""philosophy"", ""a size of type between breviario and lectura chica, standardized as 10 point""]",n,13774
2802,susan,,[],none,13760
2803,temblar,to shake,"[""to tremble, to quiver, to quake, to shudder, to cringe, to quail"", ""to shake"", ""to shiver"", ""to twitch""]",v,13756
2804,urgencia,urgency,"[""urgency"", ""emergency""]",n,13752
2805,Colombia,Colombia,"[""Colombia""]",prop,13750
2806,aparición,appearance,"[""appearance"", ""apparition""]",n,13749
2807,estallar,to crack,"[""to explode, to blow up, to burst"", ""to crack"", ""to break out, to erupt"", ""to break loose"", ""to blow up, to blow one's top, to explode"", ""to pop"", ""to blow up, to set off, to make explode""]",v,13742
2808,anual,"yearly, annual","[""yearly, annual""]",adj,13727
2809,jackson,,[],none,13718
2810,bicicleta,bicycle,"[""bicycle, pushbike, cycle"", ""step over, pedalada , used to fool a defensive player into thinking the offensive player, in possession of the ball, is going to move in a direction he does not intend to move in)"", ""bicycle""]",n,13716
2811,invitación,invitation,"[""invitation""]",n,13715
